year,ccode,warnum,batdeath,wbgdp2011est,wbpopest,sdpest,wbgdppc2011est,milex,milper,irst,pec,tpop,upop,cinc,v2x_polyarchy,polity2,xm_qudsest,batdeathpc,milexpsdp
1849,220,16,1000,25.322,17.359,24.842,7.963,19339,465,414,6356,35550,1607,0.13217121,0.287,6,0.7652106905932627,2.8129395218002813e-5,3.1455058263919967e-4
1941,220,139,2500,26.103,17.056,25.965,9.047,605022,373,4310,48138,8000,2381,0.01578795,0.092,-9,-0.6820665503402733,3.125e-4,0.003201215744954359
1999,220,221,0,28.368,17.874,28.337,10.494,37811000,421,20200,263140,58886,10402,0.020881752,0.848,9,1.499306644956348,0,0.018664460013397402
1915,220,106,1385000,26.107,17.396,25.908,8.711,3525000,4997,1111,39355,33380,5903,0.079156175,0.519,8,0.8267918393083856,0.041491911324146195,0.019745024828448123
1854,220,22,95000,25.381,17.375,24.926,8.006,30356,440,771,10830,36230,1959,0.1253639,0.189,-8,-0.5533716340472775,0.002622136351090257,4.539628232029415e-4
1958,220,158,0,26.946,17.589,26.847,9.357,3620000,961,14616,111257,44789,7775,0.033753257,0.756,5,1.0132585867870567,0,0.007928748000371537
1919,220,116,5000,26.011,17.368,25.796,8.643,634729,2364,1293,44334,31970,5889,0.061298519,0.541,9,0.9129307346169182,1.5639662183296842e-4,0.003976746302802478
1991,220,211,2,28.174,17.837,28.137,10.336,37340000,554,18432,249514,57055,9920,0.021559888,0.873,9,1.5430623151310394,3.505389536412234e-8,0.022512849926664916
1956,220,155,10,26.854,17.57,26.747,9.284,3653000,856,13398,110168,43843,7485,0.032562353,0.751,10,1.5718138132020087,2.2808658166640056e-7,0.008842501959889013
2001,220,225,0,28.434,17.882,28.405,10.552,32909000,274,19343,272458,59454,10780,0.018021695,0.848,9,1.5106041392087952,0,0.015176790081433167
1884,220,67,2100,25.666,17.429,25.324,8.237,35795,526,1872,31178,38010,3981,0.10452312,0.573,7,0.8059853597985625,5.524861878453039e-5,3.595414015466118e-4
1900,220,82,24,25.932,17.456,25.673,8.477,40569,621,1565,48650,38940,5233,0.074714355,0.583,8,0.8133550552493076,6.163328197226503e-7,2.8744321971470847e-4
1951,220,151,288,26.632,17.525,26.503,9.107,2199999,620,9835,93400,42056,6969,0.032991547,0.747,10,1.5718138132020087,6.848012174243866e-6,0.006796977456989999
1940,220,145,700,26.24,17.287,26.088,8.953,5707762,5000,4413,56951,41000,6422,0.07583493,0.396,-9,-0.580921876035071,1.7073170731707317e-5,0.026704928030566746
1898,230,79,775,24.724,16.698,24.282,8.027,5939,153,262,3938,18400,1606,0.017012449,0.201,4,0.4020245240765539,4.2119565217391304e-5,1.6911211290747616e-4
1866,230,52,300,24.286,16.559,23.627,7.727,4987,107,39,922,15980,901,0.020437209,0.195,-6,-0.3315650008153132,1.8773466833541928e-5,2.7337805183764497e-4
1865,230,52,300,24.283,16.558,23.622,7.725,5190,124,50,973,15920,876,0.021129759,0.192,-6,-0.27221860732786196,1.884422110552764e-5,2.8593222668531453e-4
1823,230,1,600,23.916,16.293,23.148,7.623,NA,114,10,0,11672,269,0.029989449,0.172,-6,-0.3315650008153132,5.1405071967100756e-5,NA
1859,230,31,4000,24.248,16.531,23.579,7.717,4405,124,35,615,15580,740,0.026724456,0.199,-6,-0.27221860732786196,2.5673940949935817e-4,2.5334732549818224e-4
1909,230,94,2000,24.922,16.768,24.544,8.155,9241,111,254,6498,19660,1815,0.014516886,0.198,6,0.6139993646723606,1.017293997965412e-4,2.024860956706719e-4
1957,230,158,122,25.865,17.181,25.66,8.685,139692,451,1346,20886,29693,7488,0.010724442,0.072,-7,-0.5689367626335816,4.1087124911595326e-6,0.001002709500078799
