warnum,year,batdeath,batdeathpc,tpop,milper,milex,sum_sdpest,mea_sdpest,med_sdpest,min_sdpest,max_sdpest,sum_wbgdp2011est,mea_wbgdp2011est,med_wbgdp2011est,min_wbgdp2011est,max_wbgdp2011est,min_polyarchy,med_polyarchy,mea_polyarchy,max_polyarchy,min_polity2,med_polity2,mea_polity2,max_polity2,wpop
64,1879,17144,0.0019844889454798008,8639,21,0,7837481663.861875,1959370415.9654686,2003990990.9562654,1,3829499680.9493437,16158847153.100973,4039711788.2752433,4698763745.860083,584928397.3426224,6176391264.038184,0.112,0.254,0.223,0.272,-7,0,-1,3,862192000
65,1882,10079,2.465810397553517e-4,40875,262,24132,188349049295.38995,94174524647.69498,94174524647.69498,2722999862.112642,185626049433.2773,233106956417.39572,116553478208.69786,116553478208.69786,9981507819.739922,223125448597.6558,0.074,0.2245,0.2245,0.375,7,7,7,7,884633000
67,1884,12100,2.9262040362268895e-5,413505,1526,35795,99557380169.24594,49778690084.62297,49778690084.62297,1,99557380168.24594,496082955866.4022,248041477933.2011,248041477933.2011,140152927125.37433,355930028741.0279,0.044,0.3085,0.3085,0.573,-6,0.5,0.5,7,896181000
70,1885,1000,7.507507507507507e-4,1332,4,123,337609233.1111155,168804616.55555776,168804616.55555776,41866644.756578766,295742588.3545368,1715063685.7771554,857531842.8885777,857531842.8885777,698188722.3211794,1016874963.4559761,0.077,0.0865,0.0865,0.096,-1,0.5,0.5,2,904946000
73,1894,15000,3.2457556335498616e-5,462142,1083,13167,34804064052.59374,17402032026.29687,17402032026.29687,1,34804064051.59374,453321021102.3956,226660510551.1978,226660510551.1978,78392962794.51228,374928058307.88336,0.043,0.1,0.1,0.157,-6,-2.5,-2.5,1,1021811000
76,1897,2000,6.649378283130527e-5,30078,461,6910,9178376138.95473,4589188069.477365,4589188069.477365,3606486980.8902926,5571889158.064436,37342845102.33294,18671422551.16647,18671422551.16647,10183147653.186205,27159697449.146736,0.008,0.14300000000000002,0.14300000000000002,0.278,-10,0,0,10,1044406000
79,1898,3685,4.0100550634426624e-5,91894,389,65950,450307849288.0747,225153924644.03735,225153924644.03735,35118714430.877686,415189134857.197,548242538326.2557,274121269163.12784,274121269163.12784,54638248695.36996,493604289630.88574,0.201,0.305,0.305,0.409,4,7,7,10,1060662000
82,1900,11003,4.471271986056686e-6,2460821,7558,319257,1081261158967.2438,108126115896.72438,22011982903.70106,1,471412809314.8352,3383976417549.209,338397641754.9209,390229162633.878,90353898326.58505,552102746021.7065,0.05,0.052000000000000005,0.19619999999999999,0.583,-10,-6,-1.4,10,1079157000
83,1900,4000,7.1623361391785155e-6,558477,2142,55345,151068618849.52966,75534309424.76483,75534309424.76483,1,151068618848.52966,680476707847.7976,340238353923.8988,340238353923.8988,290247545213.9197,390229162633.878,0.05,0.052000000000000005,0.052000000000000005,0.054,-10,-8,-8,-6,1079157000
85,1904,151831,8.087516978720004e-4,187735,1378,117578,219082942951.72485,109541471475.86243,109541471475.86243,49093869180.019005,169989073771.70584,416635648808.21954,208317824404.10977,208317824404.10977,97781379284.93217,318854269523.28735,0.051,0.111,0.111,0.171,-10,-4.5,-4.5,1,1131895000
